,CPRO,LITPRO,CUMUN,LITMUN,CUDIS,ALQM2mes_LV_M_VC_21,time_pub_trans,time_priv_trans,str_line_dist,has_beach,has_parks,parks_surface,pt_lines,avg_inc_hh,ibi_urb,ibi_rur,cat_update,vpo,rented_houses_mitma,population,foreign_born_rate,superior_studies_rate,unemployment_rate,has_tram,has_metro,has_rodalies,has_fgc,pop_density,industrial_waste,population_growth,new_houses,mob_estud
29,8,Barcelona,8077,Esplugues de Llobregat,807703,11.4734422482184,32,30,6.65,0,1,24768.68,23,40498,0.672,1.01,1997,0,219,3596,0.1537829810901001,0.3576842046718576,0.1087791991101223,1,1,0,0,10168.9,7434.97,-0.22583423035522066,0.1,0.71804802
30,8,Barcelona,8077,Esplugues de Llobregat,807704,15.3846153846154,37,30,5.82,0,0,19956.22,23,75713,0.672,1.01,1997,0,53,982,0.2963,0.6305,0.056,0,0,0,0,10168.9,7434.97,0.2430379746835443,0.1,0.71804802
31,8,Barcelona,8077,Esplugues de Llobregat,807706,14.4318181818182,52,30,7.09,0,1,13936.0,23,76439,0.672,1.01,1997,0,28,806,0.2184,0.5449,0.0791,0,0,0,0,10168.9,7434.97,0.2496124031007752,0.1,0.71804802
32,8,Barcelona,8077,Esplugues de Llobregat,807707,14.189,43,30,7.21,0,1,13936.0,23,88769,0.672,1.01,1997,0,71,1181,0.2286,0.6688,0.0616,1,0,0,0,10168.9,7434.97,0.23664921465968586,0.1,0.71804802
33,8,Barcelona,8077,Esplugues de Llobregat,807708,11.7535650623886,38,35,7.65,0,1,13936.0,23,40042,0.672,1.01,1997,0,258,4191,0.1625083989501312,0.3875225960391315,0.1018907897876402,1,0,0,0,10168.9,7434.97,-0.02193698949824971,0.1,0.71804802
34,8,Barcelona,8077,Esplugues de Llobregat,807709,11.1940298507463,35,35,7.43,0,1,162266.66,23,41870,0.672,1.01,1997,0,167,3502,0.1604678183894917,0.3736597087378641,0.09549645916619073,1,1,0,0,10168.9,7434.97,0.17714285714285713,0.1,0.71804802
35,8,Barcelona,8077,Esplugues de Llobregat,807710,11.444,19,28,6.21,0,1,37288.03,23,32340,0.672,1.01,1997,0,791,13908,0.277174252228933,0.2122174072476272,0.1524070894449238,1,1,1,0,10168.9,7434.97,0.03136818687430478,0.1,0.71804802
36,8,Barcelona,8089,Gavà,808901,10.958904109589,39,40,16.53,1,0,59651.25,18,45677,0.644,0.9,2001,30,1193,15166,0.219776763813794,0.42777413292892,0.107516134775155,0,0,1,0,1526.2,15742.8,-0.02500803600128576,1.7,0.87130076
37,8,Barcelona,8089,Gavà,808902,8.63357843137255,53,40,16.5,0,0,59651.25,18,37593,0.644,0.9,2001,30,645,14238,0.1207913470993117,0.2906382778480123,0.1261291262817812,0,0,1,0,1526.2,15742.8,-0.017391304347826087,1.7,0.87130076
38,8,Barcelona,8089,Gavà,808903,8.90524250070087,52,40,17.16,0,1,59651.25,18,38975,0.644,0.9,2001,30,543,13160,0.1133691717325228,0.3083391261398176,0.122687424012158,0,0,0,0,1526.2,15742.8,0.07253463732681337,1.7,0.87130076
